"date"	"m30_density"
2016-03-24	3987647
2016-03-25	3987647
2016-03-26	4541524
2016-03-27	5022733
2016-03-28	8402173
2016-03-29	8926333
2016-03-30	9039245
2016-03-31	9348769
2016-04-01	9361407
2016-04-02	6979444
2016-04-03	5971752
2016-04-04	8464980
2016-04-05	9173407
2016-04-06	9174581
2016-04-07	9432795
2016-04-08	9256798
2016-04-09	6819913
2016-04-10	6073426
2016-04-11	8741026
2016-04-12	8931835
2016-04-13	9143177
2016-04-14	9242873
2016-04-15	9348791
2016-04-16	6687042
2016-04-17	6313207
2016-04-18	8980150
2016-04-19	8953360
2016-04-20	8966117
2016-04-21	9431214
2016-04-22	9333240
2016-04-23	6982703
2016-04-24	6536574
2016-04-25	8826456
2016-04-26	8495573
2016-04-27	9233136
2016-04-28	9432744
2016-04-29	9125025
2016-04-30	6223653
2016-05-01	5916125
2016-05-02	5735644
2016-05-03	8926425
2016-05-04	9281618
2016-05-05	9300670
2016-05-06	9198090
2016-05-07	6913377
2016-05-08	5833057
2016-05-09	8746928
2016-05-10	3009110
2016-05-11	9064300
2016-05-12	9049482
2016-05-13	9338412
2016-05-14	6346202
2016-05-15	5853826
2016-05-16	5824535
2016-05-17	9120431
2016-05-18	9270041
2016-05-19	9233303
2016-05-20	9458147
2016-05-21	7025661
2016-05-22	6372281
2016-05-23	9049928
2016-05-24	9070456
2016-05-25	5647533
2016-05-26	11268575
2016-05-27	9470489
2016-05-28	6519800
2016-05-29	6566266
2016-05-30	8999136.5
2016-05-31	8527784
2016-06-01	9280674
2016-06-02	9188860
2016-06-03	9165171
2016-06-04	6915621
2016-06-05	6420465
2016-06-06	9025760
2016-06-07	8978337
2016-06-08	9151493
2016-06-09	9331328
2016-06-10	9346205
2016-06-11	6852973
2016-06-12	6217319
2016-06-13	8972543
2016-06-14	9213291
2016-06-15	9420298
2016-06-16	8846668
2016-06-17	9461592
2016-06-18	2959292
